"","Treatment","Fluor","Conc","Replicate"
"1","FETAX",152937.666666667,0,"1"
"2","Saccharin-0,01mg/L",25588.5,0.01,"1"
"3","Saccharin-0,1mg/L",121005,0.1,"1"
"4","Saccharin-1mg/L",10415,1,"1"
"5","Saccharin-10mg/L",16431.6666666667,10,"1"
"6","Saccharin-100mg/L",493529,100,"1"
"7","FETAX Testo",2772620.66666667,0,"1"
"8","Saccharin-0,01mg/L + Testostérone",1195801.33333333,0.01,"1"
"9","Saccharin-0,1mg/L + Testostérone",2899350.33333333,0.1,"1"
"10","Saccharin-1mg/L + Testostérone",196680.333333333,1,"1"
"11","Saccharin-10mg/L + Testostérone",2913049.33333333,10,"1"
"12","Saccharin-100mg/L + Testostérone",56302.3333333333,100,"1"
"13","FETAX",184005.666666667,0,"1"
"14","Saccharin-0,01mg/L",10220,0.01,"1"
"15","Saccharin-0,1mg/L",27433.6666666667,0.1,"1"
"16","Saccharin-1mg/L",88163.6666666667,1,"1"
"17","Saccharin-10mg/L",38079.5,10,"1"
"18","Saccharin-100mg/L",126506.333333333,100,"1"
"19","FETAX Testo",1881700,0,"1"
"20","Saccharin-0,01mg/L + Testostérone",2617877,0.01,"1"
"21","Saccharin-0,1mg/L + Testostérone",480746,0.1,"1"
"22","Saccharin-1mg/L + Testostérone",3216935,1,"1"
"23","Saccharin-10mg/L + Testostérone",35502,10,"1"
"24","Saccharin-100mg/L + Testostérone",3982611.66666667,100,"1"
"25","FETAX",438899.333333333,0,"1"
"26","Saccharin-0,01mg/L",26835.6666666667,0.01,"1"
"27","Saccharin-0,1mg/L",367629,0.1,"1"
"28","Saccharin-1mg/L",44161.3333333333,1,"1"
"29","Saccharin-10mg/L",315090.333333333,10,"1"
"30","Saccharin-100mg/L",18688,100,"1"
"31","FETAX Testo",2763752.33333333,0,"1"
"32","Saccharin-0,01mg/L + Testostérone",1937681.5,0.01,"1"
"33","Saccharin-0,1mg/L + Testostérone",212823.666666667,0.1,"1"
"34","Saccharin-1mg/L + Testostérone",660526.333333333,1,"1"
"35","Saccharin-10mg/L + Testostérone",181972.333333333,10,"1"
"36","Saccharin-100mg/L + Testostérone",3033910,100,"1"
"37","FETAX",334722.666666667,0,"1"
"38","Saccharin-0,01mg/L",98704.3333333333,0.01,"1"
"39","Saccharin-0,1mg/L",15198.3333333333,0.1,"1"
"40","Saccharin-1mg/L",70535.3333333333,1,"1"
"41","Saccharin-10mg/L",680855,10,"1"
"42","Saccharin-100mg/L",87611.5,100,"1"
"43","FETAX Testo",744641.5,0,"1"
"44","Saccharin-0,01mg/L + Testostérone",148763,0.01,"1"
"45","Saccharin-0,1mg/L + Testostérone",1520041,0.1,"1"
"46","Saccharin-1mg/L + Testostérone",2044955,1,"1"
"47","Saccharin-10mg/L + Testostérone",1718527.5,10,"1"
"48","Saccharin-100mg/L + Testostérone",96253,100,"1"
"49","FETAX",93225,0,"1"
"50","Saccharin-0,01mg/L",8651.66666666667,0.01,"1"
"51","Saccharin-0,1mg/L",38544.3333333333,0.1,"1"
"52","Saccharin-1mg/L",23973.3333333333,1,"1"
"53","Saccharin-10mg/L",52813,10,"1"
"54","FETAX Testo",2508938,0,"1"
"55","Saccharin-0,01mg/L + Testostérone",2220243.66666667,0.01,"1"
"56","Saccharin-0,1mg/L + Testostérone",943957.333333333,0.1,"1"
"57","Saccharin-1mg/L + Testostérone",1197503.33333333,1,"1"
"58","Saccharin-10mg/L + Testostérone",25479.6666666667,10,"1"
"59","Saccharin-100mg/L + Testostérone",3523178,100,"1"
"60","FETAX",29243.6666666667,0,"1"
"61","Saccharin-0,01mg/L",138482,0.01,"1"
"62","Saccharin-0,1mg/L",9243,0.1,"1"
"63","Saccharin-1mg/L",261051.5,1,"1"
"64","Saccharin-10mg/L",375862.666666667,10,"1"
